1,5
2,67
3,97
4,93
5,37
6,22
7,98
8,9
9,11
10,26
11,9
12,6
13,80
14,97
15,29
16,52
17,34
18,85
19,1
20,60
21,6
22,90
23,24
24,91
25,38
26,94
27,51
28,84
29,95
30,85
31,89
32,93
33,81
34,36
35,32
36,10
37,68
38,100
39,60
40,61
41,19
42,6
43,61
44,65
45,80
46,41
47,57
48,95
49,68
50,36
51,56
52,79
53,72
54,10
55,73
56,32
57,30
58,58
59,62
60,14
61,48
62,98
63,21
64,77
65,7
66,62
67,27
68,1
69,1
70,74
71,14
72,63
73,77
74,89
75,51
76,96
77,96
78,86
79,45
80,49
81,3
82,91
83,53
84,44
85,5
86,27
87,67
88,60
89,39
90,69
91,3
92,82
93,39
94,24
95,31
96,73
97,20
98,2
99,2
100,16
