1,3
2,7
3,13
4,75
5,14
6,21
7,5
8,5
9,79
10,59
11,33
12,84
13,38
14,56
15,97
16,75
17,67
18,20
19,96
20,30
21,67
22,93
23,39
24,66
25,70
26,63
27,29
28,39
29,38
30,27
31,26
32,76
33,9
34,96
35,27
36,40
37,82
38,86
39,50
40,23
41,25
42,30
43,95
44,68
45,87
46,97
47,70
48,99
49,28
50,13
51,47
52,6
53,68
54,69
55,47
56,94
57,4
58,85
59,29
60,8
61,99
62,47
63,40
64,45
65,20
66,17
67,41
68,84
69,85
70,16
71,44
72,97
73,93
74,79
75,41
76,77
77,24
78,16
79,64
80,95
81,98
82,79
83,75
84,4
85,32
86,67
87,49
88,60
89,35
90,25
91,40
92,27
93,30
94,43
95,74
96,11
97,95
98,31
99,78
100,11
101,60
102,61
103,96
104,27
105,19
106,66
107,48
108,32
109,92
110,72
111,72
112,63
113,46
114,63
115,98
116,27
117,92
118,90
119,67
120,10
121,19
122,10
123,63
124,14
125,63
126,49
127,48
128,60
129,47
130,37
131,4
132,99
133,14
134,65
135,71
136,20
137,4
138,86
139,41
140,50
141,96
142,16
143,91
144,49
145,33
146,81
147,31
148,85
149,50
150,26
151,9
152,95
153,82
154,97
155,31
156,3
157,82
158,44
159,21
160,13
161,68
162,6
163,67
164,68
165,100
166,91
167,52
168,71
169,42
170,5
171,72
172,49
173,2
174,44
175,23
176,35
177,15
178,64
179,41
180,56
181,40
182,46
183,75
184,43
185,9
186,60
187,16
188,65
189,62
190,94
191,51
192,13
193,99
194,64
195,15
196,16
197,51
198,70
199,71
200,39
201,63
202,22
203,82
204,35
205,38
206,44
207,94
208,67
209,8
210,86
211,50
212,17
213,12
214,21
215,1
216,16
217,39
218,33
219,38
220,50
221,82
222,88
223,79
224,27
225,64
226,84
227,36
228,58
229,96
230,89
231,65
232,77
233,59
234,1
235,44
236,85
237,85
238,14
239,100
240,75
241,43
242,20
243,62
244,36
245,75
246,22
247,15
248,39
249,10
250,89
251,67
